Order_id,Quantity,Month,Day_Of_Week,Order_Time,Unit_Price,Total_Sales,pizza_size,pizza_category,pizza_name
1,1,May,Tue,16,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
3,3,May,Wed,15,36.0,36.0,S,Classic,The Big Meat Pizza
1,1,Mar,Mon,21,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,Jun,Sat,18,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,Mar,Sat,20,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,Jun,Tue,16,33.0,33.0,M,Supreme,The Italian Supreme Pizza
1,1,Mar,Sat,13,16.5,16.5,M,Supreme,The Soppressata Pizza
1,1,Jan,Sat,14,12.5,12.5,S,Supreme,The Pepper Salami Pizza
1,1,Jan,Wed,19,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,May,Wed,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,Jan,Wed,19,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
1,1,Jan,Sat,13,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,Jun,Tue,21,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
2,2,Oct,Fri,18,24.0,24.0,S,Classic,The Italian Capocollo Pizza
1,1,Aug,Wed,14,16.0,16.0,M,Veggie,The Mexicana Pizza
3,3,Nov,Thu,12,50.25,50.25,M,Chicken,The Barbecue Chicken Pizza
1,1,Nov,Mon,12,12.0,12.0,S,Classic,The Napolitana Pizza
2,2,Nov,Thu,18,41.5,41.5,L,Supreme,The Soppressata Pizza
4,4,Jul,Sat,16,64.0,64.0,M,Classic,The Classic Deluxe Pizza
1,1,Jul,Sat,15,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
1,1,Nov,Sun,18,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,Sep,Sat,21,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,Oct,Sat,22,18.5,18.5,L,Veggie,The Five Cheese Pizza
1,1,Aug,Sat,20,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Sep,Thu,13,20.75,20.75,L,Supreme,The Soppressata Pizza
2,2,Aug,Wed,18,32.0,32.0,M,Classic,The Italian Capocollo Pizza
1,1,Nov,Sat,21,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,Dec,Fri,11,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
2,3,Jul,Mon,13,33.0,49.5,L,Classic,The Hawaiian Pizza
1,1,Nov,Sun,13,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,Sep,Sat,15,20.75,20.75,L,Supreme,The Pepper Salami Pizza
2,2,Sep,Thu,19,32.0,32.0,M,Classic,The Classic Deluxe Pizza
1,1,Oct,Thu,12,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,Nov,Tue,12,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,Nov,Wed,18,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,Nov,Sun,22,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,Sep,Sat,14,18.5,18.5,L,Veggie,The Five Cheese Pizza
5,6,Jul,Wed,18,81.25,97.5,M,Supreme,The Calabrese Pizza
1,1,Dec,Fri,16,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Jul,Tue,11,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
2,2,Sep,Tue,20,24.0,24.0,S,Classic,The Napolitana Pizza
1,1,Oct,Tue,11,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,Jun,Fri,14,25.0,25.0,M,Classic,The Pepperoni Pizza
3,3,Nov,Mon,12,53.849999999999994,53.849999999999994,L,Veggie,The Four Cheese Pizza
1,1,Sep,Wed,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
1,1,Sep,Fri,17,20.25,20.25,L,Veggie,The Mexicana Pizza
2,2,Jul,Wed,17,37.0,37.0,L,Veggie,The Five Cheese Pizza
1,1,Sep,Mon,22,10.5,10.5,S,Classic,The Hawaiian Pizza
2,2,Oct,Sat,21,35.0,35.0,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Aug,Mon,11,20.25,20.25,L,Veggie,The Mexicana Pizza
1,1,Nov,Mon,13,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
1,1,Nov,Wed,11,12.25,12.25,S,Supreme,The Calabrese Pizza
5,5,Sep,Tue,18,92.5,92.5,L,Veggie,The Five Cheese Pizza
4,4,Nov,Sun,18,83.0,83.0,L,Chicken,The Thai Chicken Pizza
1,1,Aug,Sun,21,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,Jul,Mon,19,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
1,1,Aug,Sun,12,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,Jun,Sun,12,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,Sep,Tue,11,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,Oct,Wed,18,20.5,20.5,L,Classic,The Greek Pizza
2,2,Oct,Sat,20,24.0,24.0,S,Classic,The Napolitana Pizza
4,4,Dec,Thu,19,74.0,74.0,L,Veggie,The Five Cheese Pizza
1,1,Dec,Wed,12,16.5,16.5,L,Classic,The Hawaiian Pizza
2,2,Dec,Wed,21,33.0,33.0,L,Classic,The Hawaiian Pizza
1,1,Dec,Thu,17,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,Dec,Sun,16,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,Dec,Fri,14,16.0,16.0,M,Veggie,The Mexicana Pizza
1,1,Dec,Tue,18,21.0,21.0,L,Veggie,The Italian Vegetables Pizza
1,1,Jul,Sun,17,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,Dec,Thu,16,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Apr,Wed,19,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Jan,Tue,17,16.0,16.0,M,Veggie,The Mediterranean Pizza
1,1,Mar,Sun,17,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
1,1,May,Mon,12,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,Jun,Sat,18,20.75,20.75,L,Supreme,The Italian Supreme Pizza
1,1,Jun,Thu,12,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
2,2,Apr,Fri,19,40.5,40.5,L,Veggie,The Mexicana Pizza
1,1,Feb,Wed,20,12.75,12.75,S,Chicken,The California Chicken Pizza
2,2,Feb,Mon,17,41.5,41.5,L,Veggie,The Spinach Pesto Pizza
2,2,Mar,Mon,21,41.5,41.5,L,Supreme,The Spicy Italian Pizza
2,2,Apr,Sun,16,37.0,37.0,L,Veggie,The Five Cheese Pizza
1,1,Mar,Tue,15,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,Jun,Fri,18,20.25,20.25,L,Veggie,The Mexicana Pizza
1,1,Jan,Sun,19,20.5,20.5,L,Classic,The Classic Deluxe Pizza
1,1,Mar,Sat,20,18.5,18.5,L,Veggie,The Five Cheese Pizza
1,1,Jan,Sat,12,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,Mar,Sat,11,20.25,20.25,L,Veggie,The Mexicana Pizza
2,2,Jan,Mon,14,25.5,25.5,S,Chicken,The Chicken Pesto Pizza
1,1,Apr,Thu,15,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
3,3,Mar,Sun,13,49.5,49.5,L,Classic,The Hawaiian Pizza
2,2,May,Wed,13,41.5,41.5,L,Supreme,The Italian Supreme Pizza
1,1,Jan,Sat,20,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,Feb,Tue,18,20.75,20.75,L,Supreme,The Spicy Italian Pizza
2,2,Mar,Wed,20,24.0,24.0,S,Classic,The Big Meat Pizza
1,1,Jan,Tue,12,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
4,4,Apr,Tue,15,48.0,48.0,S,Classic,The Classic Deluxe Pizza
1,1,Jan,Wed,11,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,Mar,Mon,21,20.75,20.75,L,Chicken,The Chicken Alfredo Pizza
2,2,May,Mon,16,41.5,41.5,L,Supreme,The Spicy Italian Pizza
4,4,Mar,Fri,18,48.0,48.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Mar,Wed,22,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,Mar,Mon,21,16.25,16.25,M,Supreme,The Calabrese Pizza
2,2,Apr,Sat,20,41.5,41.5,L,Chicken,The Thai Chicken Pizza
2,2,Jun,Mon,17,19.5,19.5,S,Classic,The Pepperoni Pizza
1,2,Mar,Tue,11,13.25,26.5,M,Classic,The Hawaiian Pizza
2,2,Mar,Mon,16,51.0,51.0,XL,Classic,The Greek Pizza
2,2,Jun,Sun,17,32.0,32.0,M,Classic,The Classic Deluxe Pizza
1,1,Jun,Tue,18,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,Jan,Tue,19,16.0,16.0,M,Classic,The Italian Capocollo Pizza
2,2,Feb,Sat,12,24.0,24.0,S,Veggie,The Green Garden Pizza
1,1,Jan,Tue,12,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,Jan,Fri,14,33.5,33.5,M,Chicken,The Chicken Alfredo Pizza
1,1,Jan,Thu,15,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,Jan,Fri,11,16.0,16.0,M,Classic,The Greek Pizza
2,2,May,Tue,17,21.0,21.0,S,Classic,The Hawaiian Pizza
2,2,Nov,Wed,13,40.5,40.5,L,Veggie,The Mediterranean Pizza
1,1,Jul,Fri,18,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,Sep,Thu,18,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,Aug,Wed,16,16.5,16.5,M,Supreme,The Pepper Salami Pizza
2,2,Sep,Fri,12,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
2,2,Sep,Sat,14,33.0,33.0,L,Classic,The Hawaiian Pizza
2,2,Dec,Wed,13,25.0,25.0,S,Supreme,The Pepper Salami Pizza
1,1,Oct,Wed,14,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,Oct,Sat,14,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,Jun,Mon,13,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Aug,Fri,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
2,2,Jul,Thu,20,40.5,40.5,L,Veggie,The Mediterranean Pizza
1,1,Aug,Wed,13,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,Aug,Tue,22,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
3,3,Nov,Sun,17,31.5,31.5,S,Classic,The Hawaiian Pizza
1,1,Nov,Wed,14,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Sep,Sat,16,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,Nov,Sat,16,16.0,16.0,M,Veggie,The Mexicana Pizza
1,2,Oct,Tue,19,16.25,32.5,M,Supreme,The Sicilian Pizza
2,2,Jul,Fri,22,41.0,41.0,L,Classic,The Classic Deluxe Pizza
3,3,Jul,Mon,12,44.25,44.25,M,Veggie,The Four Cheese Pizza
1,1,Oct,Thu,14,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,Jul,Fri,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,Oct,Fri,13,20.25,20.25,L,Supreme,The Sicilian Pizza
4,4,Jul,Tue,13,82.0,82.0,L,Classic,The Napolitana Pizza
1,1,Oct,Fri,18,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
2,2,Nov,Wed,19,41.5,41.5,L,Supreme,The Pepper Salami Pizza
2,2,Jun,Wed,17,51.0,51.0,XL,Classic,The Greek Pizza
2,2,Jul,Tue,11,35.9,35.9,L,Veggie,The Four Cheese Pizza
3,3,Aug,Mon,16,36.75,36.75,S,Supreme,The Sicilian Pizza
1,1,Jul,Wed,15,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,Nov,Fri,12,12.0,12.0,S,Classic,The Italian Capocollo Pizza
1,1,Aug,Sun,17,20.5,20.5,L,Classic,The Italian Capocollo Pizza
3,3,Nov,Thu,16,38.25,38.25,S,Chicken,The Thai Chicken Pizza
1,1,Nov,Mon,16,20.5,20.5,L,Classic,The Napolitana Pizza
1,1,Aug,Tue,19,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,Nov,Thu,21,16.0,16.0,M,Classic,The Napolitana Pizza
2,2,Jul,Mon,14,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,Sep,Mon,13,20.75,20.75,L,Supreme,The Spicy Italian Pizza
1,1,Jul,Thu,11,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,Oct,Wed,21,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,Jun,Tue,16,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,Aug,Wed,20,16.75,16.75,M,Chicken,The Thai Chicken Pizza
2,2,Nov,Sun,19,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,Nov,Fri,19,16.0,16.0,M,Veggie,The Mexicana Pizza
3,3,Jul,Wed,17,45.75,45.75,L,Classic,The Pepperoni Pizza
1,1,Jul,Tue,20,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,Aug,Fri,14,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
4,4,Nov,Fri,18,64.0,64.0,M,Classic,The Classic Deluxe Pizza
1,1,Jun,Sun,19,16.0,16.0,M,Classic,The Greek Pizza
2,2,Nov,Thu,14,33.0,33.0,M,Supreme,The Spicy Italian Pizza
1,1,Sep,Mon,18,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,Jul,Sun,16,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,Sep,Mon,19,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,Aug,Fri,12,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
2,2,Nov,Fri,17,41.5,41.5,L,Supreme,The Spicy Italian Pizza
2,2,Aug,Fri,14,25.5,25.5,S,Veggie,The Italian Vegetables Pizza
2,2,Dec,Sat,20,25.0,25.0,M,Classic,The Pepperoni Pizza
1,1,Dec,Sun,16,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,Dec,Sun,16,16.0,16.0,M,Classic,The Greek Pizza
1,1,Dec,Tue,15,20.25,20.25,L,Supreme,The Sicilian Pizza
1,2,Dec,Sun,13,16.0,32.0,M,Veggie,The Spinach and Feta Pizza
1,1,Feb,Mon,17,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,May,Sat,18,15.25,15.25,L,Classic,The Pepperoni Pizza
2,2,May,Sat,16,21.0,21.0,S,Classic,The Hawaiian Pizza
2,2,Feb,Thu,13,41.5,41.5,L,Supreme,The Pepper Salami Pizza
2,2,Mar,Fri,12,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
3,3,May,Wed,14,62.25,62.25,L,Supreme,The Soppressata Pizza
3,3,Feb,Sat,18,48.0,48.0,M,Veggie,The Mexicana Pizza
3,3,Jan,Tue,20,62.25,62.25,L,Chicken,The Thai Chicken Pizza
1,1,Feb,Sun,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
3,3,May,Thu,18,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
2,2,Jan,Mon,13,24.0,24.0,S,Veggie,The Green Garden Pizza
3,3,Jan,Fri,13,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
2,2,Jun,Thu,16,40.5,40.5,L,Supreme,The Calabrese Pizza
2,2,Apr,Mon,21,37.0,37.0,L,Veggie,The Five Cheese Pizza
2,2,Mar,Wed,17,41.5,41.5,L,Chicken,The Thai Chicken Pizza
4,6,Jun,Wed,12,48.0,72.0,S,Classic,The Big Meat Pizza
1,1,Apr,Tue,12,16.25,16.25,M,Supreme,The Calabrese Pizza
1,1,Apr,Mon,16,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
2,2,Feb,Mon,14,41.5,41.5,L,Chicken,The Thai Chicken Pizza
4,4,Apr,Sat,18,83.0,83.0,L,Supreme,The Spicy Italian Pizza
2,2,Jun,Sun,11,24.0,24.0,S,Classic,The Big Meat Pizza
1,1,Feb,Tue,11,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
1,2,Jun,Sat,18,20.75,41.5,L,Veggie,The Spinach Pesto Pizza
2,2,Feb,Tue,12,41.5,41.5,L,Supreme,The Soppressata Pizza
1,1,Jan,Sat,21,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,Feb,Thu,18,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
1,1,Jun,Sun,18,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,Jun,Thu,15,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
4,4,Jan,Mon,12,61.0,61.0,L,Classic,The Pepperoni Pizza
1,1,Jan,Tue,15,20.25,20.25,L,Supreme,The Sicilian Pizza
3,3,Jun,Sat,12,36.0,36.0,S,Classic,The Big Meat Pizza
1,1,Apr,Thu,19,12.5,12.5,S,Supreme,The Spicy Italian Pizza
3,3,Feb,Mon,14,55.5,55.5,L,Veggie,The Five Cheese Pizza
1,1,Mar,Wed,16,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,Apr,Tue,15,16.5,16.5,M,Supreme,The Pepper Salami Pizza
4,4,Feb,Fri,20,83.0,83.0,L,Chicken,The California Chicken Pizza
1,1,Feb,Sun,15,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
3,3,Jan,Fri,17,48.0,48.0,M,Classic,The Classic Deluxe Pizza
2,2,Apr,Sat,14,37.0,37.0,L,Veggie,The Five Cheese Pizza
2,2,Mar,Fri,19,33.5,33.5,M,Chicken,The Southwest Chicken Pizza
2,2,Apr,Sat,20,32.0,32.0,M,Classic,The Classic Deluxe Pizza
2,2,Apr,Wed,12,41.5,41.5,L,Supreme,The Spinach Supreme Pizza
1,1,Feb,Mon,13,17.95,17.95,L,Veggie,The Four Cheese Pizza
4,5,Jan,Mon,12,71.8,89.75,L,Veggie,The Four Cheese Pizza
2,2,May,Wed,16,25.0,25.0,M,Classic,The Pepperoni Pizza
2,2,Apr,Thu,17,19.5,19.5,S,Classic,The Pepperoni Pizza
3,3,Jan,Thu,12,37.5,37.5,S,Supreme,The Spinach Supreme Pizza
3,3,Jan,Fri,18,37.5,37.5,M,Classic,The Pepperoni Pizza
1,1,Oct,Fri,22,16.0,16.0,M,Classic,The Greek Pizza
2,2,Jul,Sat,18,33.5,33.5,M,Chicken,The Thai Chicken Pizza
1,1,Sep,Tue,18,12.0,12.0,S,Classic,The Greek Pizza
3,3,Oct,Thu,13,50.25,50.25,M,Chicken,The Chicken Alfredo Pizza
2,2,Aug,Sat,22,40.5,40.5,L,Veggie,The Mexicana Pizza
2,2,Nov,Mon,18,35.0,35.0,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Jul,Sat,13,20.75,20.75,L,Supreme,The Spicy Italian Pizza
1,1,Jul,Mon,12,12.0,12.0,S,Classic,The Italian Capocollo Pizza
3,3,Oct,Fri,13,62.25,62.25,L,Chicken,The California Chicken Pizza
1,1,Nov,Thu,18,10.5,10.5,S,Classic,The Hawaiian Pizza
1,1,Oct,Wed,18,16.0,16.0,M,Veggie,The Mediterranean Pizza
1,1,Sep,Fri,18,20.75,20.75,L,Supreme,The Pepper Salami Pizza
3,3,Oct,Wed,13,36.0,36.0,S,Veggie,The Spinach and Feta Pizza
2,2,Sep,Fri,11,33.0,33.0,M,Supreme,The Prosciutto and Arugula Pizza
1,1,Nov,Sun,19,20.5,20.5,L,Classic,The Napolitana Pizza
4,4,Nov,Tue,19,83.0,83.0,L,Chicken,The Southwest Chicken Pizza
2,2,Sep,Fri,12,41.5,41.5,L,Chicken,The Southwest Chicken Pizza
1,1,Oct,Sun,17,16.0,16.0,M,Classic,The Napolitana Pizza
2,2,Oct,Thu,11,40.5,40.5,L,Veggie,The Mexicana Pizza
1,1,Jul,Wed,12,23.65,23.65,S,Supreme,The Brie Carre Pizza
1,1,Aug,Wed,11,12.25,12.25,S,Supreme,The Sicilian Pizza
1,1,Nov,Tue,20,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,Jun,Sun,22,12.5,12.5,M,Classic,The Pepperoni Pizza
1,1,Oct,Fri,11,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,Oct,Sat,14,10.5,10.5,S,Classic,The Hawaiian Pizza
4,4,Oct,Fri,19,83.0,83.0,L,Chicken,The California Chicken Pizza
2,2,Sep,Fri,14,40.5,40.5,L,Veggie,The Vegetables + Vegetables Pizza
1,1,Aug,Fri,15,20.5,20.5,L,Classic,The Italian Capocollo Pizza
2,2,Jul,Fri,17,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
1,1,Nov,Wed,20,16.5,16.5,M,Supreme,The Spicy Italian Pizza
1,1,Jul,Thu,16,12.0,12.0,S,Classic,The Big Meat Pizza
1,1,Sep,Tue,19,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
1,1,Dec,Wed,22,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,Aug,Sun,14,12.0,12.0,S,Classic,The Italian Capocollo Pizza
3,3,Jul,Fri,15,50.25,50.25,M,Chicken,The Barbecue Chicken Pizza
1,1,Aug,Wed,14,12.0,12.0,S,Classic,The Italian Capocollo Pizza
1,1,Jun,Sun,22,18.5,18.5,L,Veggie,The Five Cheese Pizza
2,2,Dec,Tue,13,41.5,41.5,L,Supreme,The Italian Supreme Pizza
2,2,Jun,Sun,18,32.5,32.5,M,Supreme,The Calabrese Pizza
1,1,Nov,Fri,21,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,Dec,Thu,13,16.75,16.75,M,Chicken,The Thai Chicken Pizza
2,2,Dec,Mon,12,24.0,24.0,S,Veggie,The Mexicana Pizza
1,1,Dec,Sun,15,16.0,16.0,M,Veggie,The Mexicana Pizza
1,1,Dec,Mon,17,20.5,20.5,L,Classic,The Italian Capocollo Pizza
2,2,Dec,Tue,17,41.5,41.5,L,Supreme,The Soppressata Pizza
1,1,Oct,Tue,16,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,Jun,Fri,17,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,Mar,Wed,20,20.5,20.5,L,Classic,The Napolitana Pizza
1,1,May,Sun,18,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,Feb,Tue,12,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
2,2,Feb,Wed,12,19.5,19.5,S,Classic,The Pepperoni Pizza
2,2,Mar,Wed,17,41.5,41.5,L,Supreme,The Spicy Italian Pizza
1,1,Feb,Tue,12,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
2,2,May,Wed,17,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
1,1,Feb,Wed,15,20.75,20.75,L,Chicken,The California Chicken Pizza
1,1,Feb,Sat,21,12.0,12.0,S,Classic,The Napolitana Pizza
2,2,Mar,Fri,12,32.5,32.5,M,Supreme,The Calabrese Pizza
2,2,Jan,Sat,13,41.5,41.5,L,Supreme,The Spicy Italian Pizza
2,2,Feb,Thu,18,32.0,32.0,M,Classic,The Italian Capocollo Pizza
2,2,Apr,Wed,11,33.5,33.5,M,Chicken,The Chicken Alfredo Pizza
2,2,Jan,Fri,20,41.5,41.5,L,Supreme,The Spicy Italian Pizza
1,1,Jun,Mon,18,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,Feb,Sun,11,20.75,20.75,L,Chicken,The Thai Chicken Pizza
2,2,Feb,Wed,15,24.0,24.0,S,Classic,The Classic Deluxe Pizza
1,1,May,Sun,12,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,Apr,Wed,17,20.5,20.5,L,Classic,The Napolitana Pizza
2,2,Jun,Mon,18,24.0,24.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,Jan,Sun,19,23.65,23.65,S,Supreme,The Brie Carre Pizza
1,1,Feb,Wed,14,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
3,3,Apr,Mon,20,60.75,60.75,L,Veggie,The Mexicana Pizza
2,2,Jun,Fri,11,33.5,33.5,M,Chicken,The Thai Chicken Pizza
1,1,May,Sun,14,20.75,20.75,L,Supreme,The Pepper Salami Pizza
